,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,100,NZ,1579878400,94,-46.19,168.86,64.0,1.01
1,Rikitea,0,PF,1579878400,74,-23.12,-134.97,77.22,17.16
2,Ushuaia,90,AR,1579878400,71,-54.8,-68.3,50.0,5.82
3,Cherskiy,77,RU,1579878400,96,68.75,161.3,-36.92,3.04
4,Chimbote,15,PE,1579878401,56,-9.09,-78.58,81.21,7.0
5,Jhabua,0,IN,1579878365,33,22.77,74.6,67.59,6.55
6,Torbay,40,CA,1579878399,77,47.67,-52.73,35.01,16.44
7,Basmat,0,IN,1579878401,38,19.32,77.17,76.91,3.94
8,George Town,20,MY,1579878282,51,5.41,100.34,86.0,9.17
9,Palu,87,ID,1579878401,96,-0.89,119.87,68.09,2.08
10,Vao,7,NC,1579878401,80,-22.67,167.48,77.04,20.6
11,Beringovskiy,100,RU,1579878401,98,63.05,179.32,-1.08,9.62
12,East London,20,ZA,1579878401,78,-33.02,27.91,73.4,18.34
13,Cape Town,0,ZA,1579878135,57,-33.93,18.42,84.99,14.99
14,Hithadhoo,53,MV,1579878402,77,-0.6,73.08,84.42,9.31
15,Chui,0,UY,1579878402,53,-33.7,-53.46,78.62,6.6
16,Brae,20,GB,1579878402,80,60.4,-1.35,42.8,13.87
17,Albany,1,US,1579878303,68,42.6,-73.97,37.0,3.36
18,Nikolskoye,33,RU,1579878402,86,59.7,30.79,36.0,6.71
19,Port Alfred,33,ZA,1579878402,85,-33.59,26.89,69.01,8.99
20,Tasiilaq,75,GL,1579878402,67,65.61,-37.64,19.4,31.09
21,Tarauaca,100,BR,1579878402,98,-8.16,-70.77,72.82,2.37
22,Atuona,30,PF,1579878402,79,-9.8,-139.03,80.31,11.65
23,Bilibino,82,RU,1579878403,74,68.05,166.44,-29.34,2.64
24,Kirakira,3,SB,1579878403,84,-10.45,161.92,77.36,3.29
25,Safaga,0,EG,1579878403,40,26.73,33.94,68.0,20.8
26,Marzuq,73,YE,1579878403,61,14.4,46.47,70.09,9.1
27,Broken Hill,0,AU,1579878403,28,-31.95,141.43,69.8,8.05
28,Methoni,40,GR,1579878403,51,36.82,21.7,59.0,5.82
29,Kruisfontein,43,ZA,1579878403,61,-34.0,24.73,77.56,12.03
30,San Patricio,40,MX,1579878403,83,19.22,-104.7,73.4,3.27
31,Mitsamiouli,90,KM,1579878404,100,-11.38,43.28,77.0,3.36
32,Port Hardy,75,CA,1579878404,100,50.7,-127.42,44.6,4.7
33,Valley City,90,US,1579878404,100,46.92,-98.0,21.2,5.82
34,Mar del Plata,0,AR,1579878311,43,-38.0,-57.56,95.0,23.04
35,Bredasdorp,0,ZA,1579878404,64,-34.53,20.04,77.0,9.17
36,Raudeberg,40,NO,1579878404,86,61.99,5.14,39.2,23.04
37,Bandarbeyla,100,SO,1579878404,85,9.49,50.81,78.8,17.9
38,Carnarvon,0,AU,1579878404,65,-24.87,113.63,80.6,19.46
39,Coolum Beach,100,AU,1579878404,93,-26.53,153.1,78.01,2.73
40,Dunedin,100,NZ,1579878371,72,-45.87,170.5,68.0,10.16
41,Nguruka,100,TZ,1579878404,86,-5.11,31.04,74.86,1.07
42,Birao,100,CF,1579878405,10,10.28,22.79,78.76,13.98
43,Thompson,75,CA,1579878405,84,55.74,-97.86,5.0,5.82
44,Belyy Yar,100,RU,1579878405,68,53.6,91.39,30.2,6.71
45,Halifax,90,CA,1579878137,78,44.65,-63.57,35.01,9.17
46,Lagunas,74,PE,1579878405,70,-5.23,-75.68,84.87,4.03
47,Alofi,90,NU,1579878405,94,-19.06,-169.92,78.8,4.7
48,Arshan,0,RU,1579878405,85,46.27,44.22,19.4,13.42
49,Hilo,90,US,1579878359,77,19.73,-155.09,69.8,4.7
50,Punta Arenas,90,CL,1579878466,81,-53.15,-70.92,51.8,12.75
51,Mbanza-Ngungu,68,CD,1579878466,84,-5.25,14.87,78.12,6.78
52,Vila Franca do Campo,40,PT,1579878466,71,37.72,-25.43,57.2,9.17
53,Egvekinot,86,RU,1579878466,86,66.32,-179.17,-11.15,4.18
54,Busselton,67,AU,1579878466,49,-33.65,115.33,66.99,14.18
55,Geraldton,0,AU,1579878466,73,-28.77,114.6,71.6,21.92
56,New Norfolk,100,AU,1579878466,51,-42.78,147.06,62.6,10.29
57,Dikson,100,RU,1579878466,97,73.51,80.55,-5.24,9.8
58,Ibipeba,100,BR,1579878467,93,-11.64,-42.01,68.11,2.73
59,Kumul,0,CN,1579878467,56,42.8,93.45,13.46,2.46
60,Fort Nelson,90,CA,1579878467,85,58.81,-122.7,12.2,3.0
61,Gordeyevka,100,RU,1579878467,87,52.96,31.97,35.19,16.26
62,Ribeira Grande,40,PT,1579878467,58,38.52,-28.7,59.0,6.93
63,Touros,75,BR,1579878467,100,-5.2,-35.46,68.0,13.87
64,Puerto Carreno,100,CO,1579878467,62,6.19,-67.49,86.0,10.29
65,Cockburn Town,40,TC,1579878467,57,21.46,-71.14,77.0,3.36
66,Thayetmyo,100,MM,1579878467,53,19.32,95.18,66.87,6.73
67,Tiksi,0,RU,1579878467,88,71.69,128.87,-33.86,5.79
68,Palauig,55,PH,1579878468,81,15.44,119.9,73.17,2.37
69,Celestun,91,MX,1579878468,85,20.87,-90.4,69.76,9.1
70,Klaksvik,100,FO,1579878468,69,62.23,-6.59,39.2,18.34
71,Cavalcante,100,BR,1579878468,98,-13.8,-47.46,64.26,10.16
72,Cap Malheureux,75,MU,1579878468,88,-19.98,57.61,82.4,6.93
73,Blagoyevo,82,RU,1579878468,99,63.37,47.92,-0.35,2.93
74,Provideniya,94,RU,1579878468,97,64.38,-173.3,-6.32,4.03
75,Borovsk,75,RU,1579878468,97,55.21,36.49,32.0,15.66
76,Tuktoyaktuk,90,CA,1579878185,76,69.45,-133.04,-4.0,11.41
77,Hermanus,0,ZA,1579878469,74,-34.42,19.23,84.99,8.01
78,Pitimbu,75,BR,1579878469,62,-7.47,-34.81,87.8,11.41
79,Takoradze,0,GH,1579878469,52,4.88,-1.76,91.38,10.98
80,Arlit,19,NE,1579878469,4,18.74,7.39,90.61,8.84
81,Cayenne,75,GF,1579878329,66,4.93,-52.33,86.0,11.41
82,Moranbah,97,AU,1579878469,81,-22.0,148.05,79.52,8.7
83,Necochea,0,AR,1579878469,51,-38.55,-58.74,90.0,11.01
84,Fortuna,90,US,1579878470,87,40.6,-124.16,53.6,3.36
85,Asau,29,RO,1579878470,55,46.43,26.4,39.2,12.75
86,Sao Felix do Xingu,86,BR,1579878470,67,-6.64,-51.99,85.48,4.16
87,Jamestown,90,US,1579878331,43,42.1,-79.24,42.01,6.93
88,Hobart,99,AU,1579878470,51,-42.88,147.33,62.6,10.29
89,Olafsvik,100,IS,1579878470,72,64.89,-23.71,31.21,6.62
90,Bethel,75,US,1579878357,64,41.37,-73.41,43.0,2.26
91,Sinnamary,100,GF,1579878470,79,5.38,-52.95,79.32,12.03
92,Linden,40,GY,1579878407,70,6.0,-58.3,84.2,6.93
93,Atbasar,100,KZ,1579878471,95,51.8,68.33,27.05,10.31
94,Saskylakh,100,RU,1579878471,83,71.92,114.08,-28.35,21.54
95,Iqaluit,20,CA,1579878471,60,63.75,-68.51,-25.01,11.41
96,Puerto Ayora,75,EC,1579878471,69,-0.74,-90.35,80.6,5.82
97,Clyde River,90,CA,1579878185,83,70.47,-68.59,-11.2,27.51
98,La Providencia,72,MX,1579878471,92,28.72,-111.58,50.0,1.99
99,Hasaki,75,JP,1579878471,81,35.73,140.83,44.6,8.05
100,Acajutla,8,SV,1579878464,73,13.59,-89.83,73.0,4.05
101,Awjilah,0,LY,1579878532,43,29.11,21.29,61.56,7.36
102,Cabo San Lucas,40,MX,1579878494,93,22.89,-109.91,60.01,6.93
103,Avarua,95,CK,1579878532,94,-21.21,-159.78,78.8,6.93
104,Xinyang,100,CN,1579878532,94,32.12,114.07,40.1,14.29
105,Fairbanks,90,US,1579878256,83,64.84,-147.72,-6.0,1.59
106,Kapaa,1,US,1579878532,77,22.08,-159.32,68.0,8.05
107,Ulvik,75,NO,1579878532,98,60.57,6.92,37.99,48.32
108,Acapulco de Juarez,20,MX,1579878445,88,16.86,-99.89,75.2,4.7
109,Wajir,100,KE,1579878532,35,1.75,40.06,94.8,9.13
110,Yumen,3,CN,1579878532,49,40.28,97.2,19.72,5.44
111,Bontang,99,ID,1579878533,83,0.13,117.5,81.82,12.53
112,Lompoc,40,US,1579878484,100,34.64,-120.46,55.99,13.58
113,Sakaraha,4,MG,1579878533,46,-22.9,44.53,83.91,9.13
114,Lebu,0,CL,1579878533,34,-37.62,-73.65,71.82,10.4
115,Nelson Bay,90,AU,1579878533,83,-32.72,152.15,77.0,8.05
116,Russell,90,US,1579878533,93,32.35,-85.2,57.0,3.36
117,Tuatapere,100,NZ,1579878533,94,-46.13,167.68,64.0,1.01
118,Bambous Virieux,75,MU,1579878533,88,-20.34,57.76,82.4,6.93
119,Vaini,40,TO,1579878534,83,-21.2,-175.2,78.8,8.05
120,Avera,90,US,1579878534,93,33.19,-82.53,55.4,8.05
121,Zhigansk,42,RU,1579878534,96,66.77,123.37,-42.07,8.14
122,Waycross,90,US,1579878496,87,31.21,-82.35,66.0,8.05
123,Tual,36,ID,1579878534,74,-5.67,132.75,83.75,7.23
124,Kondinskoye,60,RU,1579878534,97,59.65,67.41,3.02,8.39
125,Athabasca,100,CA,1579878379,82,54.72,-113.29,25.92,3.49
126,Subang,100,ID,1579878534,94,-7.13,108.53,73.17,1.83
127,Hervey Bay,90,AU,1579878535,78,-25.3,152.85,81.0,6.93
128,Opochka,100,RU,1579878535,88,56.71,28.66,40.6,10.83
129,Hong Kong,40,HK,1579878364,88,22.29,114.16,72.0,11.41
130,Shakawe,59,BW,1579878535,36,-18.37,21.85,89.22,2.98
131,Puerto Leguizamo,100,CO,1579878535,74,-0.19,-74.78,84.92,1.5
132,Kashima,99,JP,1579878535,66,33.11,130.09,55.0,8.05
133,Shingu,82,JP,1579878535,70,33.73,135.98,51.71,11.45
134,Lanivtsi,70,UA,1579878535,65,49.86,26.09,32.7,8.93
135,Black Forest,1,US,1579878535,42,39.01,-104.7,33.01,10.29
136,Upernavik,51,GL,1579878536,86,72.79,-56.15,-11.78,4.7
137,Mahebourg,75,MU,1579878536,88,-20.41,57.7,82.4,6.93
138,Liberty,75,US,1579878501,100,31.83,-81.5,62.01,5.82
139,Burnie,100,AU,1579878275,93,-41.07,145.92,59.0,3.0
140,Anchorage,90,US,1579878332,84,61.22,-149.9,8.6,4.7
141,Qaanaaq,0,GL,1579878536,54,77.48,-69.36,-10.75,8.12
142,Quatre Cocos,75,MU,1579878536,88,-20.21,57.76,82.4,6.93
143,Luderitz,0,NA,1579878536,47,-26.65,15.16,78.8,11.41
144,Tazovsky,96,RU,1579878536,95,67.47,78.7,5.36,8.68
145,Vestmannaeyjar,100,IS,1579878537,88,63.44,-20.27,36.66,18.23
146,Saint-Philippe,100,RE,1579878537,94,-21.36,55.77,82.4,19.46
147,Chokurdakh,0,RU,1579878537,87,70.63,147.92,-34.94,4.79
148,Pitea,33,SE,1579878537,74,65.32,21.48,34.0,11.41
149,Pskov,75,RU,1579878537,87,57.81,28.35,42.8,13.42
150,Srednekolymsk,100,RU,1579878597,95,67.45,153.68,-30.19,2.64
151,Pangody,91,RU,1579878597,96,65.85,74.49,7.0,4.72
152,Uray,71,RU,1579878598,95,60.12,64.78,6.98,6.93
153,Barkhan,1,PK,1579878598,61,29.9,69.53,48.58,3.09
154,Beitbridge,100,ZW,1579878598,44,-22.22,30.0,84.04,15.05
155,Esperance,90,AU,1579878598,93,-33.87,121.9,62.6,8.05
156,Port Elizabeth,33,ZA,1579878598,73,-33.92,25.57,73.4,20.8
157,Lagoa,100,PT,1579878598,63,39.05,-27.98,56.03,7.09
158,Salalah,40,OM,1579878433,74,17.02,54.09,78.8,9.17
159,Henties Bay,0,NA,1579878598,83,-22.12,14.28,72.0,5.01
160,Pevek,0,RU,1579878598,97,69.7,170.31,-27.8,3.29
161,Cidreira,20,BR,1579878599,74,-30.18,-50.21,73.96,14.41
162,Bluff,100,NZ,1579878599,94,-46.6,168.33,64.0,1.01
163,Jadu,51,LY,1579878599,20,31.95,12.03,70.36,6.53
164,Saldanha,0,ZA,1579878599,54,-33.01,17.94,78.8,6.93
165,Biltine,0,TD,1579878599,6,14.53,20.92,79.75,15.01
166,Flagstaff,1,US,1579878399,52,35.2,-111.65,44.6,11.41
167,Tupiza,27,BO,1579878599,35,-21.45,-65.72,61.74,7.23
168,Leh,96,IN,1579878599,50,34.17,77.58,-6.54,5.21
169,Itupiranga,75,BR,1579878599,74,-5.13,-49.33,86.0,8.05
170,Mount Isa,40,AU,1579878600,94,-20.73,139.5,77.0,6.93
171,Arraial do Cabo,90,BR,1579878600,94,-22.97,-42.03,73.4,5.82
172,Luanda,40,AO,1579878362,70,-8.84,13.23,87.8,11.41
173,Guerrero Negro,100,MX,1579878600,70,27.98,-114.06,58.15,2.55
174,Vinh Long,4,VN,1579878600,88,10.25,105.97,77.0,4.7
175,Strongsville,90,US,1579878600,55,41.31,-81.84,42.01,4.7
176,Tsogni,95,GA,1579878600,76,-2.79,10.1,83.66,10.69
177,Arosa,40,CH,1579878600,37,46.78,9.68,45.0,1.12
178,Tukums,90,LV,1579878424,87,56.97,23.16,44.6,6.93
179,Vanimo,97,PG,1579878600,78,-2.67,141.3,82.81,6.76
180,Skjervoy,75,NO,1579878601,69,70.03,20.97,33.8,8.05
181,Ilulissat,75,GL,1579878601,61,69.22,-51.1,14.0,1.12
182,Sulangan,1,PH,1579878601,84,11.14,123.72,80.51,14.45
183,Tari,0,NG,1579878601,6,12.41,4.49,91.65,18.21
184,Longyearbyen,20,SJ,1579878601,65,78.22,15.64,6.8,27.51
185,Kaitangata,100,NZ,1579878601,72,-46.28,169.85,68.0,10.07
186,Yerbogachen,100,RU,1579878601,97,61.28,108.01,-2.79,6.4
187,Wewak,98,PG,1579878601,88,-3.55,143.63,77.97,6.98
188,Xique-Xique,100,BR,1579878601,94,-10.82,-42.73,69.91,2.08
189,Yangi Marg`ilon,75,UZ,1579878601,80,40.43,71.72,39.2,4.7
190,Shelburne,90,CA,1579878602,64,44.08,-80.2,36.0,14.99
191,Waipawa,8,NZ,1579878602,77,-41.41,175.52,63.0,20.8
192,Warrnambool,67,AU,1579878413,88,-38.38,142.48,60.01,14.43
193,Goderich,100,CA,1579878602,95,43.75,-81.72,37.0,14.18
194,Kahului,1,US,1579878602,82,20.89,-156.47,69.01,6.93
195,Sao Joao da Barra,90,BR,1579878303,100,-21.64,-41.05,77.0,4.7
196,Kwang Binh,97,VN,1579878602,91,17.48,106.6,71.02,4.85
197,Keetmanshoop,0,NA,1579878602,6,-26.58,18.13,95.0,11.41
198,Namie,84,JP,1579878603,52,37.48,141.0,41.0,1.99
199,Hirtshals,45,DK,1579878603,89,57.59,9.96,44.01,7.0
200,Port Macquarie,90,AU,1579878663,94,-31.43,152.92,75.0,3.11
201,Oussouye,32,SN,1579878663,26,12.48,-16.55,93.2,6.93
202,Nizwa,58,OM,1579878663,54,22.93,57.53,66.96,2.39
203,Half Moon Bay,90,US,1579878663,93,37.46,-122.43,51.01,3.4
204,Soyo,75,AO,1579878664,74,-6.13,12.37,84.2,3.36
205,Wanaka,100,NZ,1579878664,91,-44.7,169.15,54.1,8.19
206,Fort Morgan,1,US,1579878664,73,40.25,-103.8,30.2,8.05
207,Castro,33,BR,1579878664,54,-24.79,-50.01,75.07,6.17
208,Butaritari,100,KI,1579878664,76,3.07,172.79,83.79,8.88
209,Chute-aux-Outardes,1,CA,1579878664,72,49.12,-68.4,21.0,4.7
210,Kanpur,2,IN,1579878571,82,26.47,80.35,55.4,5.28
211,Yar-Sale,99,RU,1579878664,96,66.83,70.83,4.91,6.22
212,Narsaq,90,GL,1579878665,79,60.92,-46.05,26.6,1.12
213,Okha,100,RU,1579878665,95,53.57,142.95,0.5,11.88
214,Kochubey,50,RU,1579878665,48,44.39,46.58,29.17,12.57
215,Port Moresby,40,PG,1579878665,75,-9.44,147.18,83.68,4.54
216,Sydney Mines,75,CA,1579878665,80,46.24,-60.22,35.01,4.7
217,Baghdad,75,IQ,1579878514,62,33.34,44.4,55.4,18.34
218,Ust'-Omchug,95,RU,1579878665,100,61.15,149.63,-37.48,4.76
219,Ponta do Sol,40,PT,1579878666,52,32.67,-17.1,64.4,6.93
220,Isangel,83,VU,1579878666,85,-19.55,169.27,76.77,14.63
221,La Rioja,40,ES,1579878666,81,42.25,-2.5,48.2,1.12
222,Sistranda,75,NO,1579878666,64,63.73,8.83,37.4,38.03
223,Provincia de Ciudad Real,40,ES,1579878666,66,39.0,-4.0,53.01,5.82
224,Mount Gambier,90,AU,1579878666,93,-37.83,140.77,60.8,9.17
225,Sitka,90,US,1579878666,100,57.05,-135.33,33.8,13.87
226,Lagos,92,NG,1579878657,32,6.58,3.75,93.2,9.17
227,Iracoubo,100,GF,1579878666,79,5.48,-53.2,79.32,12.03
228,Porto Murtinho,31,BR,1579878666,49,-21.7,-57.88,89.37,6.71
229,Labuhan,75,ID,1579878667,85,-6.88,112.21,77.81,1.66
230,Vila Velha,90,BR,1579878667,88,-20.33,-40.29,80.01,13.87
231,Beyneu,97,KZ,1579878667,84,45.32,55.2,29.52,15.32
232,Mizque,37,BO,1579878667,59,-17.94,-65.34,66.76,5.53
233,Devils Lake,90,US,1579878667,100,48.11,-98.87,19.4,6.93
234,Qashyr,100,KZ,1579878667,95,53.07,76.1,31.06,14.94
235,Souillac,75,MU,1579878667,88,-20.52,57.52,81.0,6.93
236,Lorengau,2,PG,1579878667,70,-2.02,147.27,83.97,6.04
237,Morondava,15,MG,1579878667,80,-20.28,44.28,83.86,3.22
238,Faanui,33,PF,1579878667,76,-16.48,-151.75,82.06,10.87
239,College,90,US,1579878668,83,64.86,-147.8,-5.8,2.91
240,Novouzensk,0,RU,1579878668,89,50.46,48.14,10.94,11.56
241,Samarai,1,PG,1579878668,89,-10.62,150.67,76.84,2.95
242,Prince Rupert,100,CA,1579878668,84,54.32,-130.32,43.32,14.99
243,Alakurtti,100,RU,1579878668,90,66.97,30.35,12.0,1.83
244,Vizianagaram,0,IN,1579878668,83,18.12,83.42,75.2,2.24
245,Alekseyevsk,100,RU,1579878668,96,57.84,108.35,9.99,5.61
246,Bambanglipuro,100,ID,1579878668,85,-7.95,110.28,77.0,2.51
247,Jian,100,CN,1579878565,91,27.12,114.98,48.63,6.13
248,Demba,100,CD,1579878669,37,-5.51,22.27,90.88,3.8
249,Bac Lieu,32,VN,1579878669,88,9.29,105.72,73.89,7.14
250,Ngunguru,0,NZ,1579878729,94,-35.62,174.5,62.01,1.99
251,Yellowknife,90,CA,1579878482,84,62.46,-114.35,5.0,10.29
252,Makat,84,KZ,1579878729,87,47.65,53.35,22.48,7.87
253,Hamilton,90,US,1579878561,93,39.18,-84.53,44.01,6.08
254,Tara,82,RU,1579878729,95,56.89,74.37,11.17,5.39
255,Jacareacanga,85,BR,1579878729,75,-6.22,-57.75,89.6,3.36
256,Ushtobe,100,KZ,1579878730,77,45.25,77.98,26.02,7.87
257,Madang,86,PG,1579878730,82,-5.22,145.8,82.6,14.52
258,Coquimbo,0,CL,1579878730,60,-29.95,-71.34,73.4,9.17
259,Barrow,1,US,1579878730,75,71.29,-156.79,-20.2,9.17
260,Pedernales,20,DO,1579878730,83,18.04,-71.74,77.0,9.17
261,Gimli,37,CA,1579878716,96,50.63,-96.99,5.77,4.94
262,Aklavik,90,CA,1579878730,83,68.22,-135.01,-4.0,12.75
263,Giyani,5,ZA,1579878660,51,-23.3,30.72,82.0,6.22
264,Lupi,75,PH,1579878730,88,13.53,123.15,76.35,6.08
265,Taunggyi,58,MM,1579878730,66,20.78,97.03,54.32,3.87
266,Vaitape,33,PF,1579878731,76,-16.52,-151.75,82.06,10.87
267,Namatanai,22,PG,1579878731,78,-3.67,152.43,82.99,9.08
268,Severo-Kuril'sk,83,RU,1579878731,87,50.68,156.12,13.87,13.4
269,Diapaga,0,BF,1579878731,5,12.07,1.79,95.16,13.4
270,Grand-Santi,100,GF,1579878731,44,4.25,-54.38,89.71,4.21
271,Homer,20,US,1579878731,60,59.64,-151.55,17.6,5.82
272,Mahates,40,CO,1579878731,70,10.23,-75.19,86.0,6.93
273,Suntar,100,RU,1579878732,97,62.14,117.63,-20.2,5.32
274,Chato,80,TZ,1579878732,59,-2.64,31.77,76.55,11.03
275,Airai,100,TL,1579878732,93,-8.93,125.41,68.04,2.15
276,Semey,99,KZ,1579878732,79,50.41,80.23,24.8,22.37
277,Maumere,9,ID,1579878732,81,-8.62,122.21,77.95,3.11
278,Lazarev,100,RU,1579878732,93,52.23,141.51,0.61,8.14
279,Buala,9,SB,1579878732,83,-8.14,159.59,79.88,5.64
